Date,vis_team,home_team,vis_score,home_score
20170528,SEA,BOS,5,0
20170609,DET,BOS,3,5
20170610,DET,BOS,3,11
20170611,DET,BOS,8,3
20170612,PHI,BOS,5,6
20170613,PHI,BOS,3,4
20170623,ANA,BOS,4,9
20170624,ANA,BOS,6,3
20170625,ANA,BOS,4,2
20170626,MIN,BOS,1,4
20170627,MIN,BOS,2,9
20170628,MIN,BOS,4,1
20170629,MIN,BOS,3,6
20170714,NYA,BOS,4,5
20170715,NYA,BOS,4,1
20170716,NYA,BOS,3,0
20170716,NYA,BOS,0,3
20170717,TOR,BOS,4,3
20170718,TOR,BOS,4,5
20170719,TOR,BOS,1,5
20170720,TOR,BOS,8,6
20170728,KCA,BOS,4,2
20170729,KCA,BOS,8,9
20170730,KCA,BOS,5,3
20170731,CLE,BOS,2,6
20170801,CLE,BOS,10,12
20170803,CHA,BOS,5,9
20170804,CHA,BOS,2,3
20170805,CHA,BOS,1,4
20170806,CHA,BOS,3,6
20170814,CLE,BOS,7,3
20170815,SLN,BOS,4,10
20170816,SLN,BOS,4,5
20170818,NYA,BOS,6,9
20170819,NYA,BOS,4,3
20170820,NYA,BOS,1,5
20170825,BAL,BOS,16,3
20170826,BAL,BOS,7,0
20170827,BAL,BOS,2,1
20170904,TOR,BOS,10,4
20170905,TOR,BOS,2,3
20170906,TOR,BOS,1,6
20170908,TBA,BOS,3,9
20170909,TBA,BOS,0,9
20170910,TBA,BOS,4,1
20170912,OAK,BOS,1,11
20170913,OAK,BOS,7,3
20170914,OAK,BOS,2,6
20170925,TOR,BOS,6,4
20170926,TOR,BOS,9,4
20170927,TOR,BOS,7,10
20170928,HOU,BOS,12,2
20170929,HOU,BOS,3,2
20170930,HOU,BOS,3,6
20171001,HOU,BOS,4,3
20170404,DET,CHA,6,3
20170406,DET,CHA,2,11
20170407,MIN,CHA,3,1
20170408,MIN,CHA,2,6
20170409,MIN,CHA,4,1
20170421,CLE,CHA,3,0
20170422,CLE,CHA,7,0
20170423,CLE,CHA,2,6
20170424,KCA,CHA,1,12
20170425,KCA,CHA,5,10
20170426,KCA,CHA,2,5
20170509,MIN,CHA,7,2
20170511,MIN,CHA,7,6
20170512,SDN,CHA,6,3
20170513,SDN,CHA,4,5
20170514,SDN,CHA,3,9
20170526,DET,CHA,2,8
20170527,DET,CHA,0,3
20170527,DET,CHA,4,3
20170528,DET,CHA,3,7
20170529,BOS,CHA,4,5
20170530,BOS,CHA,13,7
20170531,BOS,CHA,4,1
20170612,BAL,CHA,7,10
20170613,BAL,CHA,1,6
20170614,BAL,CHA,10,6
20170615,BAL,CHA,2,5
20170623,OAK,CHA,3,0
20170624,OAK,CHA,10,2
20170625,OAK,CHA,5,3
20170626,NYA,CHA,6,5
20170627,NYA,CHA,3,4
20170628,NYA,CHA,12,3
20170629,NYA,CHA,3,4
20170630,TEX,CHA,7,8
20170701,TEX,CHA,10,4
20170702,TEX,CHA,5,6
20170714,SEA,CHA,4,2
20170715,SEA,CHA,4,3
20170716,SEA,CHA,7,6
20170718,LAN,CHA,1,0
20170719,LAN,CHA,9,1
20170726,CHN,CHA,8,3
20170727,CHN,CHA,6,3
20170728,CLE,CHA,9,3
20170729,CLE,CHA,5,4
20170730,CLE,CHA,1,3
20170731,TOR,CHA,6,7
20170801,TOR,CHA,8,4
20170802,TOR,CHA,5,1
20170808,HOU,CHA,5,8
20170809,HOU,CHA,1,7
20170810,HOU,CHA,2,3
20170811,KCA,CHA,3,6
20170812,KCA,CHA,5,4
20170813,KCA,CHA,14,6
20170821,MIN,CHA,6,7
20170821,MIN,CHA,10,2
20170822,MIN,CHA,4,1
20170823,MIN,CHA,3,4
20170824,MIN,CHA,1,5
20170825,DET,CHA,2,3
20170826,DET,CHA,6,3
20170827,DET,CHA,1,7
20170901,TBA,CHA,3,1
20170902,TBA,CHA,4,5
20170903,TBA,CHA,2,6
20170904,CLE,CHA,5,3
20170905,CLE,CHA,9,4
20170906,CLE,CHA,5,1
20170907,CLE,CHA,11,2
20170908,SFN,CHA,9,2
20170909,SFN,CHA,1,13
20170910,SFN,CHA,1,8
20170922,KCA,CHA,6,7
20170923,KCA,CHA,8,2
20170924,KCA,CHA,1,8
20170925,ANA,CHA,2,4
20170926,ANA,CHA,9,3
20170927,ANA,CHA,4,6
20170928,ANA,CHA,4,5
20170410,LAN,CHN,2,3
20170412,LAN,CHN,2,0
20170413,LAN,CHN,0,4
20170414,PIT,CHN,4,2
20170415,PIT,CHN,8,7
20170416,PIT,CHN,6,1
20170417,MIL,CHN,6,3
20170418,MIL,CHN,7,9
